,Method,Accuracy,Number of features,Train size,Test size,Classifier,variance thershold,kbest,top_n
0,BOW+NB,0.7208,9771,623,308,NB,,,
1,BOW+LR,0.763,9771,623,308,LR,,,
2,BOW+5NN,0.6169,9771,623,308,5NN,,,
3,BOW+2NN,0.6526,9771,623,308,2NN,,,
4,BOW+1KNN,0.6429,9771,623,308,1KNN,,,
5,BOW+LSVM,0.763,9771,623,308,LSVM,,,
6,BOW+NN100x50,0.7273,9771,623,308,NN100x50,,,
7,META+NB,0.737,2731,623,308,NB,,,
8,META+LR,0.789,2731,623,308,LR,,,
9,META+5NN,0.6623,2731,623,308,5NN,,,
10,META+2NN,0.6623,2731,623,308,2NN,,,
11,META+1KNN,0.6558,2731,623,308,1KNN,,,
12,META+LSVM,0.7727,2731,623,308,LSVM,,,
13,META+NN100x50,0.75,2731,623,308,NN100x50,,,
14,LVAR+NB,0.7208,9771,623,308,NB,0.0005,,
15,LVAR+LR,0.763,9771,623,308,LR,0.0005,,
16,LVAR+5NN,0.6169,9771,623,308,5NN,0.0005,,
17,LVAR+2NN,0.6526,9771,623,308,2NN,0.0005,,
18,LVAR+1KNN,0.6429,9771,623,308,1KNN,0.0005,,
19,LVAR+LSVM,0.763,9771,623,308,LSVM,0.0005,,
20,LVAR+NN100x50,0.7273,9771,623,308,NN100x50,0.0005,,
21,LVAR+NB,0.7208,9771,623,308,NB,0.001,,
22,LVAR+LR,0.763,9771,623,308,LR,0.001,,
23,LVAR+5NN,0.6169,9771,623,308,5NN,0.001,,
24,LVAR+2NN,0.6526,9771,623,308,2NN,0.001,,
25,LVAR+1KNN,0.6429,9771,623,308,1KNN,0.001,,
26,LVAR+LSVM,0.763,9771,623,308,LSVM,0.001,,
27,LVAR+NN100x50,0.7273,9771,623,308,NN100x50,0.001,,
28,LVAR+NB,0.7208,9771,623,308,NB,0.0015,,
29,LVAR+LR,0.763,9771,623,308,LR,0.0015,,
30,LVAR+5NN,0.6169,9771,623,308,5NN,0.0015,,
31,LVAR+2NN,0.6526,9771,623,308,2NN,0.0015,,
32,LVAR+1KNN,0.6429,9771,623,308,1KNN,0.0015,,
33,LVAR+LSVM,0.763,9771,623,308,LSVM,0.0015,,
34,LVAR+NN100x50,0.7273,9771,623,308,NN100x50,0.0015,,
35,LVAR+NB,0.724,6000,623,308,NB,0.002,,
36,LVAR+LR,0.7695,6000,623,308,LR,0.002,,
37,LVAR+5NN,0.6721,6000,623,308,5NN,0.002,,
38,LVAR+2NN,0.6688,6000,623,308,2NN,0.002,,
39,LVAR+1KNN,0.6688,6000,623,308,1KNN,0.002,,
40,LVAR+LSVM,0.7662,6000,623,308,LSVM,0.002,,
41,LVAR+NN100x50,0.7435,6000,623,308,NN100x50,0.002,,
42,LVAR+NB,0.724,6000,623,308,NB,0.003,,
43,LVAR+LR,0.7695,6000,623,308,LR,0.003,,
44,LVAR+5NN,0.6721,6000,623,308,5NN,0.003,,
45,LVAR+2NN,0.6688,6000,623,308,2NN,0.003,,
46,LVAR+1KNN,0.6688,6000,623,308,1KNN,0.003,,
47,LVAR+LSVM,0.7662,6000,623,308,LSVM,0.003,,
48,LVAR+NN100x50,0.7435,6000,623,308,NN100x50,0.003,,
49,LVAR+NB,0.7338,3637,623,308,NB,0.004,,
50,LVAR+LR,0.7792,3637,623,308,LR,0.004,,
51,LVAR+5NN,0.6331,3637,623,308,5NN,0.004,,
52,LVAR+2NN,0.6721,3637,623,308,2NN,0.004,,
53,LVAR+1KNN,0.6818,3637,623,308,1KNN,0.004,,
54,LVAR+LSVM,0.7695,3637,623,308,LSVM,0.004,,
55,LVAR+NN100x50,0.7468,3637,623,308,NN100x50,0.004,,
56,LVAR+NB,0.737,2906,623,308,NB,0.005,,
57,LVAR+LR,0.7727,2906,623,308,LR,0.005,,
58,LVAR+5NN,0.6656,2906,623,308,5NN,0.005,,
59,LVAR+2NN,0.6818,2906,623,308,2NN,0.005,,
60,LVAR+1KNN,0.6883,2906,623,308,1KNN,0.005,,
61,LVAR+LSVM,0.763,2906,623,308,LSVM,0.005,,
62,LVAR+NN100x50,0.7403,2906,623,308,NN100x50,0.005,,
63,LVAR+NB,0.7338,1719,623,308,NB,0.01,,
64,LVAR+LR,0.7727,1719,623,308,LR,0.01,,
65,LVAR+5NN,0.7013,1719,623,308,5NN,0.01,,
66,LVAR+2NN,0.6818,1719,623,308,2NN,0.01,,
67,LVAR+1KNN,0.6916,1719,623,308,1KNN,0.01,,
68,LVAR+LSVM,0.7825,1719,623,308,LSVM,0.01,,
69,LVAR+NN100x50,0.75,1719,623,308,NN100x50,0.01,,
70,KBEST+NB,0.7403,350,623,308,NB,,350.0,
71,KBEST+LR,0.724,350,623,308,LR,,350.0,
72,KBEST+5NN,0.724,350,623,308,5NN,,350.0,
73,KBEST+2NN,0.6851,350,623,308,2NN,,350.0,
74,KBEST+1KNN,0.6786,350,623,308,1KNN,,350.0,
75,KBEST+LSVM,0.711,350,623,308,LSVM,,350.0,
76,KBEST+NN100x50,0.7338,350,623,308,NN100x50,,350.0,
77,KBEST+NB,0.75,500,623,308,NB,,500.0,
78,KBEST+LR,0.724,500,623,308,LR,,500.0,
79,KBEST+5NN,0.711,500,623,308,5NN,,500.0,
80,KBEST+2NN,0.6883,500,623,308,2NN,,500.0,
81,KBEST+1KNN,0.6916,500,623,308,1KNN,,500.0,
82,KBEST+LSVM,0.7338,500,623,308,LSVM,,500.0,
83,KBEST+NN100x50,0.7468,500,623,308,NN100x50,,500.0,
84,KBEST+NB,0.7305,1000,623,308,NB,,1000.0,
85,KBEST+LR,0.7435,1000,623,308,LR,,1000.0,
86,KBEST+5NN,0.6721,1000,623,308,5NN,,1000.0,
87,KBEST+2NN,0.6688,1000,623,308,2NN,,1000.0,
88,KBEST+1KNN,0.6883,1000,623,308,1KNN,,1000.0,
89,KBEST+LSVM,0.7532,1000,623,308,LSVM,,1000.0,
90,KBEST+NN100x50,0.7565,1000,623,308,NN100x50,,1000.0,
91,KBEST+NB,0.737,2000,623,308,NB,,2000.0,
92,KBEST+LR,0.7662,2000,623,308,LR,,2000.0,
93,KBEST+5NN,0.6721,2000,623,308,5NN,,2000.0,
94,KBEST+2NN,0.6688,2000,623,308,2NN,,2000.0,
95,KBEST+1KNN,0.6753,2000,623,308,1KNN,,2000.0,
96,KBEST+LSVM,0.763,2000,623,308,LSVM,,2000.0,
