%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
!START OF THE EXPERIMENT!
DATASET DIR PATH: C:\Users\USER\source\repos\GraphOfDocs\GraphOfDocs\datasets\amazon
MIN NUMBER OF DOCUMENTS PER SELECTED COMMUNITY: 2
VARIANCE THRESHOLD: [0.0005, 0.001, 0.0015, 0.002, 0.003, 0.004, 0.005, 0.01]
SELECT KBEST K: [350, 500, 1000, 2000, 3000, 4000, 5000, 6000, 7000]
TOP N SELECTED COMMUNITY TERMS: [5, 10, 15, 20, 25, 50, 100, 250, 500]
Number of selected documents: 931
EXAMPLE OF THE PANDAS DATAFRAME
                identifier     class  class_number                                               text
7325  kitchen.positive_391  positive             1  tommy hilfiger egyptian luxe bath towel mandar...
2120      dvd.negative_206  negative             0  meet john doe dvd gary cooper barbara stanwyck...
Number of unique classes: 2
Number of features in BOWEvaluator:9771
C:\Users\USER\source\repos\GraphOfDocs\GraphOfDocs\Virtual Environment\lib\site-packages\sklearn\svm\_base.py:947: ConvergenceWarning: Liblinear failed to converge, increase the number of iterations.
  "the number of iterations.", ConvergenceWarning)
C:\Users\USER\source\repos\GraphOfDocs\GraphOfDocs\Virtual Environment\lib\site-packages\sklearn\svm\_base.py:947: ConvergenceWarning: Liblinear failed to converge, increase the number of iterations.
  "the number of iterations.", ConvergenceWarning)
C:\Users\USER\source\repos\GraphOfDocs\GraphOfDocs\Virtual Environment\lib\site-packages\sklearn\svm\_base.py:947: ConvergenceWarning: Liblinear failed to converge, increase the number of iterations.
  "the number of iterations.", ConvergenceWarning)
C:\Users\USER\source\repos\GraphOfDocs\GraphOfDocs\Virtual Environment\lib\site-packages\sklearn\svm\_base.py:947: ConvergenceWarning: Liblinear failed to converge, increase the number of iterations.
  "the number of iterations.", ConvergenceWarning)
C:\Users\USER\source\repos\GraphOfDocs\GraphOfDocs\Virtual Environment\lib\site-packages\sklearn\svm\_base.py:947: ConvergenceWarning: Liblinear failed to converge, increase the number of iterations.
  "the number of iterations.", ConvergenceWarning)
C:\Users\USER\source\repos\GraphOfDocs\GraphOfDocs\Virtual Environment\lib\site-packages\sklearn\svm\_base.py:947: ConvergenceWarning: Liblinear failed to converge, increase the number of iterations.
  "the number of iterations.", ConvergenceWarning)
C:\Users\USER\source\repos\GraphOfDocs\GraphOfDocs\Virtual Environment\lib\site-packages\sklearn\svm\_base.py:947: ConvergenceWarning: Liblinear failed to converge, increase the number of iterations.
  "the number of iterations.", ConvergenceWarning)
C:\Users\USER\source\repos\GraphOfDocs\GraphOfDocs\Virtual Environment\lib\site-packages\sklearn\svm\_base.py:947: ConvergenceWarning: Liblinear failed to converge, increase the number of iterations.
  "the number of iterations.", ConvergenceWarning)
C:\Users\USER\source\repos\GraphOfDocs\GraphOfDocs\Virtual Environment\lib\site-packages\sklearn\svm\_base.py:947: ConvergenceWarning: Liblinear failed to converge, increase the number of iterations.
  "the number of iterations.", ConvergenceWarning)
C:\Users\USER\source\repos\GraphOfDocs\GraphOfDocs\Virtual Environment\lib\site-packages\sklearn\svm\_base.py:947: ConvergenceWarning: Liblinear failed to converge, increase the number of iterations.
  "the number of iterations.", ConvergenceWarning)
C:\Users\USER\source\repos\GraphOfDocs\GraphOfDocs\Virtual Environment\lib\site-packages\sklearn\svm\_base.py:947: ConvergenceWarning: Liblinear failed to converge, increase the number of iterations.
  "the number of iterations.", ConvergenceWarning)
EXAMPLE OF THE EVALUATION RESULTS PANDAS DATAFRAME
   Method  Accuracy  Number of features  Train size  Test size Classifier  variance thershold  kbest  top_n
0  BOW+NB    0.7208                9771         623        308         NB                 NaN    NaN    NaN
1  BOW+LR    0.7630                9771         623        308         LR                 NaN    NaN    NaN
+--------------------------+----------+--------------------+------------+-----------+--------------------------------+
|          Method          | Accuracy | Number of features | Train size | Test size |            Details             |
+--------------------------+----------+--------------------+------------+-----------+--------------------------------+
|         META+LR          |  0.789   |        2731        |    623     |    308    |               {}               |
|        LVAR+LSVM         |  0.7825  |        1719        |    623     |    308    |  {'variance thershold': 0.01}  |
|         LVAR+LR          |  0.7792  |        3637        |    623     |    308    | {'variance thershold': 0.004}  |
|         TOPN+LR          |  0.776   |        4897        |    623     |    308    |         {'top_n': 50}          |
|        META+LSVM         |  0.7727  |        2731        |    623     |    308    |               {}               |
|         LVAR+LR          |  0.7727  |        2906        |    623     |    308    | {'variance thershold': 0.005}  |
|         LVAR+LR          |  0.7727  |        1719        |    623     |    308    |  {'variance thershold': 0.01}  |
|         KBEST+LR         |  0.7727  |        3000        |    623     |    308    |        {'kbest': 3000}         |
|         TOPN+LR          |  0.7695  |        6692        |    623     |    308    |         {'top_n': 250}         |
|        LVAR+LSVM         |  0.7695  |        3637        |    623     |    308    | {'variance thershold': 0.004}  |
|         LVAR+LR          |  0.7695  |        6000        |    623     |    308    | {'variance thershold': 0.003}  |
|         LVAR+LR          |  0.7695  |        6000        |    623     |    308    | {'variance thershold': 0.002}  |
|         TOPN+LR          |  0.7662  |        7005        |    623     |    308    |         {'top_n': 500}         |
|         TOPN+LR          |  0.7662  |        5777        |    623     |    308    |         {'top_n': 100}         |
|         TOPN+LR          |  0.7662  |        1940        |    623     |    308    |         {'top_n': 20}          |
|        LVAR+LSVM         |  0.7662  |        6000        |    623     |    308    | {'variance thershold': 0.003}  |
|        LVAR+LSVM         |  0.7662  |        6000        |    623     |    308    | {'variance thershold': 0.002}  |
|         KBEST+LR         |  0.7662  |        2000        |    623     |    308    |        {'kbest': 2000}         |
|        TOPN+LSVM         |  0.763   |        4897        |    623     |    308    |         {'top_n': 50}          |
|        LVAR+LSVM         |  0.763   |        9771        |    623     |    308    | {'variance thershold': 0.001}  |
|        LVAR+LSVM         |  0.763   |        9771        |    623     |    308    | {'variance thershold': 0.0015} |
|        LVAR+LSVM         |  0.763   |        9771        |    623     |    308    | {'variance thershold': 0.0005} |
|        LVAR+LSVM         |  0.763   |        2906        |    623     |    308    | {'variance thershold': 0.005}  |
|         LVAR+LR          |  0.763   |        9771        |    623     |    308    | {'variance thershold': 0.001}  |
|         LVAR+LR          |  0.763   |        9771        |    623     |    308    | {'variance thershold': 0.0015} |
|         LVAR+LR          |  0.763   |        9771        |    623     |    308    | {'variance thershold': 0.0005} |
|        KBEST+LSVM        |  0.763   |        6000        |    623     |    308    |        {'kbest': 6000}         |
|        KBEST+LSVM        |  0.763   |        4000        |    623     |    308    |        {'kbest': 4000}         |
|        KBEST+LSVM        |  0.763   |        2000        |    623     |    308    |        {'kbest': 2000}         |
|         KBEST+LR         |  0.763   |        6000        |    623     |    308    |        {'kbest': 6000}         |
|         BOW+LSVM         |  0.763   |        9771        |    623     |    308    |               {}               |
|          BOW+LR          |  0.763   |        9771        |    623     |    308    |               {}               |
|         KBEST+LR         |  0.7597  |        7000        |    623     |    308    |        {'kbest': 7000}         |
|         KBEST+LR         |  0.7597  |        5000        |    623     |    308    |        {'kbest': 5000}         |
|        TOPN+LSVM         |  0.7565  |        2372        |    623     |    308    |         {'top_n': 25}          |
|         TOPN+LR          |  0.7565  |        2372        |    623     |    308    |         {'top_n': 25}          |
|         TOPN+LR          |  0.7565  |        1557        |    623     |    308    |         {'top_n': 15}          |
|         TOPN+LR          |  0.7565  |        1065        |    623     |    308    |         {'top_n': 10}          |
|      KBEST+NN100x50      |  0.7565  |        1000        |    623     |    308    |        {'kbest': 1000}         |
|        TOPN+LSVM         |  0.7532  |        1940        |    623     |    308    |         {'top_n': 20}          |
|        KBEST+LSVM        |  0.7532  |        5000        |    623     |    308    |        {'kbest': 5000}         |
|        KBEST+LSVM        |  0.7532  |        1000        |    623     |    308    |        {'kbest': 1000}         |
|      META+NN100x50       |   0.75   |        2731        |    623     |    308    |               {}               |
