,Method,Accuracy,Number of features,Train size,Test size,Classifier,variance thershold,kbest,top_n
0,BOW+NB,0.8191,15514,4501,2217,NB,,,
1,BOW+LR,0.8746,15514,4501,2217,LR,,,
2,BOW+5NN,0.7582,15514,4501,2217,5NN,,,
3,BOW+2NN,0.802,15514,4501,2217,2NN,,,
4,BOW+1KNN,0.7997,15514,4501,2217,1KNN,,,
5,BOW+LSVM,0.8742,15514,4501,2217,LSVM,,,
6,BOW+NN100x50,0.8656,15514,4501,2217,NN100x50,,,
7,META+NB,0.8376,2494,4501,2217,NB,,,
8,META+LR,0.876,2494,4501,2217,LR,,,
9,META+5NN,0.8002,2494,4501,2217,5NN,,,
10,META+2NN,0.8223,2494,4501,2217,2NN,,,
11,META+1KNN,0.8245,2494,4501,2217,1KNN,,,
12,META+LSVM,0.8746,2494,4501,2217,LSVM,,,
13,META+NN100x50,0.8701,2494,4501,2217,NN100x50,,,
14,LVAR+NB,0.8372,7624,4501,2217,NB,0.0005,,
15,LVAR+LR,0.8755,7624,4501,2217,LR,0.0005,,
16,LVAR+5NN,0.7677,7624,4501,2217,5NN,0.0005,,
17,LVAR+2NN,0.8097,7624,4501,2217,2NN,0.0005,,
18,LVAR+1KNN,0.8088,7624,4501,2217,1KNN,0.0005,,
19,LVAR+LSVM,0.8746,7624,4501,2217,LSVM,0.0005,,
20,LVAR+NN100x50,0.8705,7624,4501,2217,NN100x50,0.0005,,
21,LVAR+NB,0.8363,5780,4501,2217,NB,0.001,,
22,LVAR+LR,0.8733,5780,4501,2217,LR,0.001,,
23,LVAR+5NN,0.7826,5780,4501,2217,5NN,0.001,,
24,LVAR+2NN,0.816,5780,4501,2217,2NN,0.001,,
25,LVAR+1KNN,0.8137,5780,4501,2217,1KNN,0.001,,
26,LVAR+LSVM,0.8733,5780,4501,2217,LSVM,0.001,,
27,LVAR+NN100x50,0.8714,5780,4501,2217,NN100x50,0.001,,
28,LVAR+NB,0.8367,4870,4501,2217,NB,0.0015,,
29,LVAR+LR,0.8742,4870,4501,2217,LR,0.0015,,
30,LVAR+5NN,0.7966,4870,4501,2217,5NN,0.0015,,
31,LVAR+2NN,0.8205,4870,4501,2217,2NN,0.0015,,
32,LVAR+1KNN,0.8173,4870,4501,2217,1KNN,0.0015,,
33,LVAR+LSVM,0.8737,4870,4501,2217,LSVM,0.0015,,
34,LVAR+NN100x50,0.8724,4870,4501,2217,NN100x50,0.0015,,
35,LVAR+NB,0.8399,4014,4501,2217,NB,0.002,,
36,LVAR+LR,0.8737,4014,4501,2217,LR,0.002,,
37,LVAR+5NN,0.8083,4014,4501,2217,5NN,0.002,,
38,LVAR+2NN,0.8236,4014,4501,2217,2NN,0.002,,
39,LVAR+1KNN,0.8232,4014,4501,2217,1KNN,0.002,,
40,LVAR+LSVM,0.8705,4014,4501,2217,LSVM,0.002,,
41,LVAR+NN100x50,0.8665,4014,4501,2217,NN100x50,0.002,,
42,LVAR+NB,0.8403,3356,4501,2217,NB,0.003,,
43,LVAR+LR,0.8755,3356,4501,2217,LR,0.003,,
44,LVAR+5NN,0.8101,3356,4501,2217,5NN,0.003,,
45,LVAR+2NN,0.8236,3356,4501,2217,2NN,0.003,,
46,LVAR+1KNN,0.8272,3356,4501,2217,1KNN,0.003,,
47,LVAR+LSVM,0.8714,3356,4501,2217,LSVM,0.003,,
48,LVAR+NN100x50,0.8687,3356,4501,2217,NN100x50,0.003,,
49,LVAR+NB,0.8381,2772,4501,2217,NB,0.004,,
50,LVAR+LR,0.8755,2772,4501,2217,LR,0.004,,
51,LVAR+5NN,0.8106,2772,4501,2217,5NN,0.004,,
52,LVAR+2NN,0.8245,2772,4501,2217,2NN,0.004,,
53,LVAR+1KNN,0.8259,2772,4501,2217,1KNN,0.004,,
54,LVAR+LSVM,0.8692,2772,4501,2217,LSVM,0.004,,
55,LVAR+NN100x50,0.8724,2772,4501,2217,NN100x50,0.004,,
56,LVAR+NB,0.839,2458,4501,2217,NB,0.005,,
57,LVAR+LR,0.8751,2458,4501,2217,LR,0.005,,
58,LVAR+5NN,0.811,2458,4501,2217,5NN,0.005,,
59,LVAR+2NN,0.8254,2458,4501,2217,2NN,0.005,,
60,LVAR+1KNN,0.8268,2458,4501,2217,1KNN,0.005,,
61,LVAR+LSVM,0.8692,2458,4501,2217,LSVM,0.005,,
62,LVAR+NN100x50,0.8724,2458,4501,2217,NN100x50,0.005,,
63,LVAR+NB,0.8349,1482,4501,2217,NB,0.01,,
64,LVAR+LR,0.8742,1482,4501,2217,LR,0.01,,
65,LVAR+5NN,0.8209,1482,4501,2217,5NN,0.01,,
66,LVAR+2NN,0.8295,1482,4501,2217,2NN,0.01,,
67,LVAR+1KNN,0.8295,1482,4501,2217,1KNN,0.01,,
68,LVAR+LSVM,0.8669,1482,4501,2217,LSVM,0.01,,
69,LVAR+NN100x50,0.8674,1482,4501,2217,NN100x50,0.01,,
70,KBEST+NB,0.8038,1000,4501,2217,NB,,1000.0,
71,KBEST+LR,0.8358,1000,4501,2217,LR,,1000.0,
72,KBEST+5NN,0.7939,1000,4501,2217,5NN,,1000.0,
73,KBEST+2NN,0.8033,1000,4501,2217,2NN,,1000.0,
74,KBEST+1KNN,0.8029,1000,4501,2217,1KNN,,1000.0,
75,KBEST+LSVM,0.8295,1000,4501,2217,LSVM,,1000.0,
76,KBEST+NN100x50,0.83,1000,4501,2217,NN100x50,,1000.0,
77,KBEST+NB,0.8169,2000,4501,2217,NB,,2000.0,
78,KBEST+LR,0.8484,2000,4501,2217,LR,,2000.0,
79,KBEST+5NN,0.7866,2000,4501,2217,5NN,,2000.0,
80,KBEST+2NN,0.8097,2000,4501,2217,2NN,,2000.0,
81,KBEST+1KNN,0.8088,2000,4501,2217,1KNN,,2000.0,
82,KBEST+LSVM,0.8309,2000,4501,2217,LSVM,,2000.0,
83,KBEST+NN100x50,0.8331,2000,4501,2217,NN100x50,,2000.0,
84,KBEST+NB,0.8187,3000,4501,2217,NB,,3000.0,
85,KBEST+LR,0.8633,3000,4501,2217,LR,,3000.0,
86,KBEST+5NN,0.793,3000,4501,2217,5NN,,3000.0,
87,KBEST+2NN,0.8119,3000,4501,2217,2NN,,3000.0,
88,KBEST+1KNN,0.8124,3000,4501,2217,1KNN,,3000.0,
89,KBEST+LSVM,0.8507,3000,4501,2217,LSVM,,3000.0,
90,KBEST+NN100x50,0.8579,3000,4501,2217,NN100x50,,3000.0,
91,KBEST+NB,0.8272,4000,4501,2217,NB,,4000.0,
92,KBEST+LR,0.8687,4000,4501,2217,LR,,4000.0,
93,KBEST+5NN,0.788,4000,4501,2217,5NN,,4000.0,
94,KBEST+2NN,0.8182,4000,4501,2217,2NN,,4000.0,
95,KBEST+1KNN,0.8187,4000,4501,2217,1KNN,,4000.0,
96,KBEST+LSVM,0.8602,4000,4501,2217,LSVM,,4000.0,
97,KBEST+NN100x50,0.8552,4000,4501,2217,NN100x50,,4000.0,
98,KBEST+NB,0.8259,5000,4501,2217,NB,,5000.0,
99,KBEST+LR,0.8687,5000,4501,2217,LR,,5000.0,
100,KBEST+5NN,0.7889,5000,4501,2217,5NN,,5000.0,
101,KBEST+2NN,0.8128,5000,4501,2217,2NN,,5000.0,
102,KBEST+1KNN,0.8142,5000,4501,2217,1KNN,,5000.0,
103,KBEST+LSVM,0.8638,5000,4501,2217,LSVM,,5000.0,
104,KBEST+NN100x50,0.8633,5000,4501,2217,NN100x50,,5000.0,
105,KBEST+NB,0.8277,6000,4501,2217,NB,,6000.0,
106,KBEST+LR,0.8737,6000,4501,2217,LR,,6000.0,
107,KBEST+5NN,0.7957,6000,4501,2217,5NN,,6000.0,
108,KBEST+2NN,0.8191,6000,4501,2217,2NN,,6000.0,
109,KBEST+1KNN,0.82,6000,4501,2217,1KNN,,6000.0,
110,KBEST+LSVM,0.8714,6000,4501,2217,LSVM,,6000.0,
111,KBEST+NN100x50,0.8665,6000,4501,2217,NN100x50,,6000.0,
112,KBEST+NB,0.8354,7000,4501,2217,NB,,7000.0,
113,KBEST+LR,0.8751,7000,4501,2217,LR,,7000.0,
114,KBEST+5NN,0.7952,7000,4501,2217,5NN,,7000.0,
115,KBEST+2NN,0.8205,7000,4501,2217,2NN,,7000.0,
116,KBEST+1KNN,0.8205,7000,4501,2217,1KNN,,7000.0,
117,KBEST+LSVM,0.8737,7000,4501,2217,LSVM,,7000.0,
118,KBEST+NN100x50,0.8696,7000,4501,2217,NN100x50,,7000.0,
119,KBEST+NB,0.8336,10000,4501,2217,NB,,10000.0,
120,KBEST+LR,0.8764,10000,4501,2217,LR,,10000.0,
121,KBEST+5NN,0.7939,10000,4501,2217,5NN,,10000.0,
122,KBEST+2NN,0.816,10000,4501,2217,2NN,,10000.0,
123,KBEST+1KNN,0.8191,10000,4501,2217,1KNN,,10000.0,
124,KBEST+LSVM,0.8719,10000,4501,2217,LSVM,,10000.0,
125,KBEST+NN100x50,0.8624,10000,4501,2217,NN100x50,,10000.0,
126,KBEST+NB,0.8236,14000,4501,2217,NB,,14000.0,
127,KBEST+LR,0.8728,14000,4501,2217,LR,,14000.0,
128,KBEST+5NN,0.7497,14000,4501,2217,5NN,,14000.0,
129,KBEST+2NN,0.7961,14000,4501,2217,2NN,,14000.0,
130,KBEST+1KNN,0.7948,14000,4501,2217,1KNN,,14000.0,
131,KBEST+LSVM,0.8737,14000,4501,2217,LSVM,,14000.0,
132,KBEST+NN100x50,0.8705,14000,4501,2217,NN100x50,,14000.0,
133,TOPN+NB,0.8033,293,4501,2217,NB,,,5.0
134,TOPN+LR,0.8399,293,4501,2217,LR,,,5.0
135,TOPN+5NN,0.8164,293,4501,2217,5NN,,,5.0
136,TOPN+2NN,0.8083,293,4501,2217,2NN,,,5.0
137,TOPN+1KNN,0.8078,293,4501,2217,1KNN,,,5.0
138,TOPN+LSVM,0.8214,293,4501,2217,LSVM,,,5.0
139,TOPN+NN100x50,0.8336,293,4501,2217,NN100x50,,,5.0
140,TOPN+NB,0.8295,809,4501,2217,NB,,,10.0
141,TOPN+LR,0.8642,809,4501,2217,LR,,,10.0
142,TOPN+5NN,0.8272,809,4501,2217,5NN,,,10.0
143,TOPN+2NN,0.8259,809,4501,2217,2NN,,,10.0
144,TOPN+1KNN,0.8241,809,4501,2217,1KNN,,,10.0
145,TOPN+LSVM,0.8466,809,4501,2217,LSVM,,,10.0
146,TOPN+NN100x50,0.8548,809,4501,2217,NN100x50,,,10.0
147,TOPN+NB,0.8331,1615,4501,2217,NB,,,15.0
148,TOPN+LR,0.8724,1615,4501,2217,LR,,,15.0
149,TOPN+5NN,0.8232,1615,4501,2217,5NN,,,15.0
150,TOPN+2NN,0.8313,1615,4501,2217,2NN,,,15.0
151,TOPN+1KNN,0.8309,1615,4501,2217,1KNN,,,15.0
152,TOPN+LSVM,0.8606,1615,4501,2217,LSVM,,,15.0
153,TOPN+NN100x50,0.8674,1615,4501,2217,NN100x50,,,15.0
154,TOPN+NB,0.8372,2430,4501,2217,NB,,,20.0
155,TOPN+LR,0.8728,2430,4501,2217,LR,,,20.0
156,TOPN+5NN,0.8155,2430,4501,2217,5NN,,,20.0
157,TOPN+2NN,0.8295,2430,4501,2217,2NN,,,20.0
158,TOPN+1KNN,0.8309,2430,4501,2217,1KNN,,,20.0
159,TOPN+LSVM,0.8665,2430,4501,2217,LSVM,,,20.0
160,TOPN+NN100x50,0.8701,2430,4501,2217,NN100x50,,,20.0
161,TOPN+NB,0.839,3182,4501,2217,NB,,,25.0
162,TOPN+LR,0.8742,3182,4501,2217,LR,,,25.0
163,TOPN+5NN,0.811,3182,4501,2217,5NN,,,25.0
164,TOPN+2NN,0.8272,3182,4501,2217,2NN,,,25.0
165,TOPN+1KNN,0.8268,3182,4501,2217,1KNN,,,25.0
166,TOPN+LSVM,0.8678,3182,4501,2217,LSVM,,,25.0
167,TOPN+NN100x50,0.8687,3182,4501,2217,NN100x50,,,25.0
168,TOPN+NB,0.8372,5359,4501,2217,NB,,,50.0
169,TOPN+LR,0.8755,5359,4501,2217,LR,,,50.0
170,TOPN+5NN,0.802,5359,4501,2217,5NN,,,50.0
171,TOPN+2NN,0.8263,5359,4501,2217,2NN,,,50.0
172,TOPN+1KNN,0.8268,5359,4501,2217,1KNN,,,50.0
173,TOPN+LSVM,0.8724,5359,4501,2217,LSVM,,,50.0
174,TOPN+NN100x50,0.8714,5359,4501,2217,NN100x50,,,50.0
175,TOPN+NB,0.8399,7171,4501,2217,NB,,,100.0
176,TOPN+LR,0.8782,7171,4501,2217,LR,,,100.0
177,TOPN+5NN,0.7993,7171,4501,2217,5NN,,,100.0
178,TOPN+2NN,0.8232,7171,4501,2217,2NN,,,100.0
179,TOPN+1KNN,0.8227,7171,4501,2217,1KNN,,,100.0
180,TOPN+LSVM,0.8737,7171,4501,2217,LSVM,,,100.0
181,TOPN+NN100x50,0.8674,7171,4501,2217,NN100x50,,,100.0
182,TOPN+NB,0.8381,8187,4501,2217,NB,,,250.0
183,TOPN+LR,0.876,8187,4501,2217,LR,,,250.0
184,TOPN+5NN,0.7979,8187,4501,2217,5NN,,,250.0
185,TOPN+2NN,0.8232,8187,4501,2217,2NN,,,250.0
186,TOPN+1KNN,0.8232,8187,4501,2217,1KNN,,,250.0
187,TOPN+LSVM,0.8724,8187,4501,2217,LSVM,,,250.0
188,TOPN+NN100x50,0.8733,8187,4501,2217,NN100x50,,,250.0
189,TOPN+NB,0.8376,8246,4501,2217,NB,,,500.0
190,TOPN+LR,0.8778,8246,4501,2217,LR,,,500.0
