,Method,Accuracy,Number of features,Train size,Test size,Classifier,variance thershold,kbest,top_n
0,BOW+NB,0.9361,62384,7778,3832,NB,,,
1,BOW+LR,0.9387,62384,7778,3832,LR,,,
2,BOW+5NN,0.643,62384,7778,3832,5NN,,,
3,BOW+2NN,0.7557,62384,7778,3832,2NN,,,
4,BOW+1KNN,0.7597,62384,7778,3832,1KNN,,,
5,BOW+LSVM,0.9408,62384,7778,3832,LSVM,,,
6,BOW+NN100x50,0.9546,62384,7778,3832,NN100x50,,,
7,BOW+NN500x250,0.959,62384,7778,3832,NN500x250,,,
8,META+NB,0.9387,14907,7778,3832,NB,,,
9,META+LR,0.9376,14907,7778,3832,LR,,,
10,META+5NN,0.6542,14907,7778,3832,5NN,,,
11,META+2NN,0.7607,14907,7778,3832,2NN,,,
12,META+1KNN,0.7638,14907,7778,3832,1KNN,,,
13,META+LSVM,0.9408,14907,7778,3832,LSVM,,,
14,META+NN100x50,0.952,14907,7778,3832,NN100x50,,,
15,META+NN500x250,0.9562,14907,7778,3832,NN500x250,,,
16,LVAR+NB,0.94,29992,7778,3832,NB,0.0005,,
17,LVAR+LR,0.9384,29992,7778,3832,LR,0.0005,,
18,LVAR+5NN,0.6341,29992,7778,3832,5NN,0.0005,,
19,LVAR+2NN,0.7526,29992,7778,3832,2NN,0.0005,,
20,LVAR+1KNN,0.7466,29992,7778,3832,1KNN,0.0005,,
21,LVAR+LSVM,0.9368,29992,7778,3832,LSVM,0.0005,,
22,LVAR+NN100x50,0.9541,29992,7778,3832,NN100x50,0.0005,,
23,LVAR+NN500x250,0.9609,29992,7778,3832,NN500x250,0.0005,,
24,LVAR+NB,0.9363,20410,7778,3832,NB,0.001,,
25,LVAR+LR,0.9358,20410,7778,3832,LR,0.001,,
26,LVAR+5NN,0.6292,20410,7778,3832,5NN,0.001,,
27,LVAR+2NN,0.7461,20410,7778,3832,2NN,0.001,,
28,LVAR+1KNN,0.744,20410,7778,3832,1KNN,0.001,,
29,LVAR+LSVM,0.9303,20410,7778,3832,LSVM,0.001,,
30,LVAR+NN100x50,0.9517,20410,7778,3832,NN100x50,0.001,,
31,LVAR+NN500x250,0.9549,20410,7778,3832,NN500x250,0.001,,
32,LVAR+NB,0.9306,15779,7778,3832,NB,0.0015,,
33,LVAR+LR,0.9316,15779,7778,3832,LR,0.0015,,
34,LVAR+5NN,0.6626,15779,7778,3832,5NN,0.0015,,
35,LVAR+2NN,0.7445,15779,7778,3832,2NN,0.0015,,
36,LVAR+1KNN,0.7456,15779,7778,3832,1KNN,0.0015,,
37,LVAR+LSVM,0.929,15779,7778,3832,LSVM,0.0015,,
38,LVAR+NN100x50,0.9502,15779,7778,3832,NN100x50,0.0015,,
39,LVAR+NN500x250,0.9538,15779,7778,3832,NN500x250,0.0015,,
40,LVAR+NB,0.9282,13521,7778,3832,NB,0.002,,
41,LVAR+LR,0.9308,13521,7778,3832,LR,0.002,,
42,LVAR+5NN,0.6827,13521,7778,3832,5NN,0.002,,
43,LVAR+2NN,0.7435,13521,7778,3832,2NN,0.002,,
44,LVAR+1KNN,0.7456,13521,7778,3832,1KNN,0.002,,
45,LVAR+LSVM,0.9251,13521,7778,3832,LSVM,0.002,,
46,LVAR+NN100x50,0.9434,13521,7778,3832,NN100x50,0.002,,
