%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
!START OF THE EXPERIMENT!
DATASET DIR PATH: /home/nkanak/Desktop/phd/experiments/GraphOfDocs/GraphOfDocs/data/20news-18828-all/
MIN NUMBER OF DOCUMENTS PER SELECTED COMMUNITY: 2
VARIANCE THRESHOLD: [0.0005, 0.001, 0.0015, 0.002, 0.003, 0.004, 0.005, 0.01]
SELECT KBEST K: [1000, 2000, 3000, 5000, 10000, 15000, 20000, 25000, 30000]
TOP N SELECTED COMMUNITY TERMS: [5, 10, 15, 20, 25, 50, 100, 250, 500]
Number of selected documents: 11610 
EXAMPLE OF THE PANDAS DATAFRAME
                 identifier  ...                                               text
11876      rec.autos_102735  ...  rdb1 cbnewsj att ronald deblock changing oil s...
17000  comp.windows.x_68077  ...  boutilie rtsg mot eric boutilier looking windo...

[2 rows x 4 columns]
Number of unique classes: 20
EXAMPLE OF THE EVALUATION RESULTS PANDAS DATAFRAME
   Method  Accuracy  Number of features  ...  variance thershold  kbest top_n
0  BOW+NB    0.9361               62384  ...                 NaN    NaN   NaN
1  BOW+LR    0.9387               62384  ...                 NaN    NaN   NaN

[2 rows x 9 columns]
+--------------------------+----------+--------------------+------------+-----------+--------------------------------+
|          Method          | Accuracy | Number of features | Train size | Test size |            Details             |
+--------------------------+----------+--------------------+------------+-----------+--------------------------------+
| Graph-of-docs Classifier |  0.9752  |        N/A         |    N/A     |    3832   |                                |
|      TOPN+NN500x250      |  0.9616  |       37281        |    7778    |    3832   |         {'top_n': 250}         |
|      LVAR+NN500x250      |  0.9609  |       29992        |    7778    |    3832   | {'variance thershold': 0.0005} |
|      TOPN+NN500x250      |  0.9603  |       30793        |    7778    |    3832   |         {'top_n': 100}         |
|      BOW+NN500x250       |  0.959   |       62384        |    7778    |    3832   |               {}               |
|     KBEST+NN500x250      |  0.958   |       30000        |    7778    |    3832   |        {'kbest': 30000}        |
|      TOPN+NN500x250      |  0.9577  |       39694        |    7778    |    3832   |         {'top_n': 500}         |
|      TOPN+NN100x50       |  0.9575  |       30793        |    7778    |    3832   |         {'top_n': 100}         |
|      TOPN+NN100x50       |  0.9572  |       39694        |    7778    |    3832   |         {'top_n': 500}         |
|      KBEST+NN100x50      |  0.9564  |       30000        |    7778    |    3832   |        {'kbest': 30000}        |
|      META+NN500x250      |  0.9562  |       14907        |    7778    |    3832   |               {}               |
|      KBEST+NN100x50      |  0.9556  |       25000        |    7778    |    3832   |        {'kbest': 25000}        |
|      TOPN+NN100x50       |  0.9554  |       20942        |    7778    |    3832   |         {'top_n': 50}          |
|      TOPN+NN100x50       |  0.9551  |       37281        |    7778    |    3832   |         {'top_n': 250}         |
|      LVAR+NN500x250      |  0.9549  |       20410        |    7778    |    3832   | {'variance thershold': 0.001}  |
|       BOW+NN100x50       |  0.9546  |       62384        |    7778    |    3832   |               {}               |
|      LVAR+NN100x50       |  0.9541  |       29992        |    7778    |    3832   | {'variance thershold': 0.0005} |
|      LVAR+NN500x250      |  0.9538  |       15779        |    7778    |    3832   | {'variance thershold': 0.0015} |
|     KBEST+NN500x250      |  0.9538  |       25000        |    7778    |    3832   |        {'kbest': 25000}        |
|      TOPN+NN500x250      |  0.9528  |       10149        |    7778    |    3832   |         {'top_n': 25}          |
|     KBEST+NN500x250      |  0.9528  |       20000        |    7778    |    3832   |        {'kbest': 20000}        |
|      META+NN100x50       |  0.952   |       14907        |    7778    |    3832   |               {}               |
|      LVAR+NN100x50       |  0.9517  |       20410        |    7778    |    3832   | {'variance thershold': 0.001}  |
|     KBEST+NN500x250      |  0.9517  |       15000        |    7778    |    3832   |        {'kbest': 15000}        |
|      LVAR+NN500x250      |  0.9512  |       13521        |    7778    |    3832   | {'variance thershold': 0.002}  |
|      TOPN+NN500x250      |  0.9509  |       20942        |    7778    |    3832   |         {'top_n': 50}          |
|      LVAR+NN100x50       |  0.9502  |       15779        |    7778    |    3832   | {'variance thershold': 0.0015} |
|      KBEST+NN100x50      |  0.9502  |       20000        |    7778    |    3832   |        {'kbest': 20000}        |
|      LVAR+NN500x250      |  0.9489  |       10469        |    7778    |    3832   | {'variance thershold': 0.003}  |
|      TOPN+NN100x50       |  0.947   |       10149        |    7778    |    3832   |         {'top_n': 25}          |
|      TOPN+NN500x250      |  0.9468  |        7548        |    7778    |    3832   |         {'top_n': 20}          |
|     KBEST+NN500x250      |  0.9444  |       10000        |    7778    |    3832   |        {'kbest': 10000}        |
|      LVAR+NN100x50       |  0.9442  |       10469        |    7778    |    3832   | {'variance thershold': 0.003}  |
|      KBEST+NN100x50      |  0.9442  |       15000        |    7778    |    3832   |        {'kbest': 15000}        |
|      TOPN+NN100x50       |  0.9434  |        7548        |    7778    |    3832   |         {'top_n': 20}          |
