,Method,Accuracy,Number of features,Train size,Test size,Classifier,variance thershold,kbest,top_n
0,BOW+NB,0.6989,14539,3229,1591,NB,,,
1,BOW+LR,0.7461,14539,3229,1591,LR,,,
2,BOW+5NN,0.6486,14539,3229,1591,5NN,,,
3,BOW+2NN,0.6644,14539,3229,1591,2NN,,,
4,BOW+1KNN,0.6637,14539,3229,1591,1KNN,,,
5,BOW+LSVM,0.7304,14539,3229,1591,LSVM,,,
6,BOW+NN100x50,0.741,14539,3229,1591,NN100x50,,,
7,META+NB,0.6989,2942,3229,1591,NB,,,
8,META+LR,0.7461,2942,3229,1591,LR,,,
9,META+5NN,0.6329,2942,3229,1591,5NN,,,
10,META+2NN,0.6662,2942,3229,1591,2NN,,,
11,META+1KNN,0.6688,2942,3229,1591,1KNN,,,
12,META+LSVM,0.731,2942,3229,1591,LSVM,,,
13,META+NN100x50,0.7467,2942,3229,1591,NN100x50,,,
14,LVAR+NB,0.6933,9706,3229,1591,NB,0.0005,,
15,LVAR+LR,0.7442,9706,3229,1591,LR,0.0005,,
16,LVAR+5NN,0.6411,9706,3229,1591,5NN,0.0005,,
17,LVAR+2NN,0.6593,9706,3229,1591,2NN,0.0005,,
18,LVAR+1KNN,0.6512,9706,3229,1591,1KNN,0.0005,,
19,LVAR+LSVM,0.7291,9706,3229,1591,LSVM,0.0005,,
20,LVAR+NN100x50,0.7379,9706,3229,1591,NN100x50,0.0005,,
21,LVAR+NB,0.6895,8221,3229,1591,NB,0.001,,
22,LVAR+LR,0.7404,8221,3229,1591,LR,0.001,,
23,LVAR+5NN,0.6386,8221,3229,1591,5NN,0.001,,
24,LVAR+2NN,0.6644,8221,3229,1591,2NN,0.001,,
25,LVAR+1KNN,0.6562,8221,3229,1591,1KNN,0.001,,
26,LVAR+LSVM,0.7197,8221,3229,1591,LSVM,0.001,,
27,LVAR+NN100x50,0.7348,8221,3229,1591,NN100x50,0.001,,
28,LVAR+NB,0.6882,6489,3229,1591,NB,0.0015,,
