,Method,Accuracy,Number of features,Train size,Test size,Classifier,variance thershold,kbest,top_n
0,BOW+NB,0.9963,16695,546,270,NB,,,
1,BOW+LR,1.0,16695,546,270,LR,,,
2,BOW+5NN,0.8333,16695,546,270,5NN,,,
3,BOW+2NN,0.9074,16695,546,270,2NN,,,
4,BOW+1KNN,0.9074,16695,546,270,1KNN,,,
5,BOW+LSVM,1.0,16695,546,270,LSVM,,,
6,BOW+NN100x50,0.9963,16695,546,270,NN100x50,,,
7,META+NB,0.9963,2509,546,270,NB,,,
8,META+LR,1.0,2509,546,270,LR,,,
9,META+5NN,0.8704,2509,546,270,5NN,,,
10,META+2NN,0.9222,2509,546,270,2NN,,,
11,META+1KNN,0.9222,2509,546,270,1KNN,,,
12,META+LSVM,1.0,2509,546,270,LSVM,,,
13,META+NN100x50,1.0,2509,546,270,NN100x50,,,
14,LVAR+NB,0.9963,16695,546,270,NB,0.0005,,
15,LVAR+LR,1.0,16695,546,270,LR,0.0005,,
16,LVAR+5NN,0.8333,16695,546,270,5NN,0.0005,,
17,LVAR+2NN,0.9074,16695,546,270,2NN,0.0005,,
18,LVAR+1KNN,0.9074,16695,546,270,1KNN,0.0005,,
19,LVAR+LSVM,1.0,16695,546,270,LSVM,0.0005,,
20,LVAR+NN100x50,0.9963,16695,546,270,NN100x50,0.0005,,
21,LVAR+NB,0.9963,16695,546,270,NB,0.001,,
22,LVAR+LR,1.0,16695,546,270,LR,0.001,,
23,LVAR+5NN,0.8333,16695,546,270,5NN,0.001,,
24,LVAR+2NN,0.9074,16695,546,270,2NN,0.001,,
25,LVAR+1KNN,0.9074,16695,546,270,1KNN,0.001,,
26,LVAR+LSVM,1.0,16695,546,270,LSVM,0.001,,
27,LVAR+NN100x50,0.9963,16695,546,270,NN100x50,0.001,,
28,LVAR+NB,0.9963,16695,546,270,NB,0.0015,,
29,LVAR+LR,1.0,16695,546,270,LR,0.0015,,
30,LVAR+5NN,0.8333,16695,546,270,5NN,0.0015,,
31,LVAR+2NN,0.9074,16695,546,270,2NN,0.0015,,
32,LVAR+1KNN,0.9074,16695,546,270,1KNN,0.0015,,
33,LVAR+LSVM,1.0,16695,546,270,LSVM,0.0015,,
34,LVAR+NN100x50,0.9963,16695,546,270,NN100x50,0.0015,,
35,LVAR+NB,0.9963,11058,546,270,NB,0.002,,
36,LVAR+LR,1.0,11058,546,270,LR,0.002,,
37,LVAR+5NN,0.8296,11058,546,270,5NN,0.002,,
38,LVAR+2NN,0.9185,11058,546,270,2NN,0.002,,
39,LVAR+1KNN,0.9185,11058,546,270,1KNN,0.002,,
40,LVAR+LSVM,0.9963,11058,546,270,LSVM,0.002,,
